"MouseID","Batch","Sex","Tester","Age.at.Test","Weight","Alopecia","Loss.of.fur.colour","Dermatitis","Loss.of.whiskers","Coat.condition","Piloerection","Cataracts","Eye.discharge.swelling","Microphthalmia","Corneal.opacity","Nasal.discharge","Rectal.prolapse","Vaginal.uterine.","Diarrhea","Vestibular.disturbance","Vision.loss..Visual.Placing.","Menace.reflex","Tail.stiffening","Gait.disorders","Tremor","Tumours","Distended.abdomen","Kyphosis","Body.condition","Breathing.rate.depth","Malocclusions","Righting.Reflex","OverallScore"
"AgedB6-0886","Batch1","Male","Scorer3",106,38.39,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4
"AgedB6-0887","Batch1","Male","Scorer3",106,59.17,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,0.5,0.5,0,0,0,5
"AgedB6-0888","Batch1","Male","Scorer3",106,43.56,0,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,4
"AgedB6-0889","Batch1","Male","Scorer3",106,56.7,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,0,4.5
"AgedB6-0940","Batch1","Male","Scorer3",20,33.94,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5
"AgedB6-0941","Batch1","Male","Scorer3",20,34.81,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4
"AgedB6-0942","Batch1","Male","Scorer3",20,31.92,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5
"AgedB6-0943","Batch1","Male","Scorer3",20,32.98,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5
"AgedB6-0375","Batch1","Female","Scorer2",48,41.08,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,4.5
"AgedB6-0576","Batch1","Female","Scorer2",101,50,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.5,0,0,0,0,6
