"MouseID","Batch","Tester","TestAge","Weight","score","CFI_norm","CFI","Sex","center_time_secs","periphery_time_secs","corner_time_secs","center_distance_cm","periphery_distance_cm","corner_distance_cm","grooming_number_bouts","grooming_duration_secs","avg_angular_velocity","avg_base_tail_lateral_displacement","avg_limb_duty_factor","avg_nose_lateral_displacement","avg_speed_cm_per_sec","avg_step_length1","avg_step_length2","avg_step_width","avg_stride_length","avg_tip_tail_lateral_displacement","median_angular_velocity","median_base_tail_lateral_displacement","median_limb_duty_factor","median_nose_lateral_displacement","median_speed_cm_per_sec","median_step_length1","median_step_length2","median_step_width","median_stride_length","median_tip_tail_lateral_displacement","stride_count","Distance.cm.sc","angular_velocity_iqr","base_tail_lateral_displacement_iqr","limb_duty_factor_iqr","nose_lateral_displacement_iqr","speed_cm_per_sec_iqr","step_length1_iqr","step_length2_iqr","step_width_iqr","stride_length_iqr","tip_tail_lateral_displacement_iqr","dAC_mean","dAC_median","dB_mean","dB_median","aABC_mean","aABC_median","median_width","median_length","median_rearpaw","rear_count","rears_0_5","dAC_nongait_mean","dAC_nongait_median","dAC_nongait_stdev","dB_nongait_mean","dB_nongait_median","dB_nongait_stdev","aABC_nongait_mean","aABC_nongait_median","aABC_nongait_stdev"
"AgedB6-0430","Batch1","Scorer1",83,43.28,3,0.142857143,4,-1,696.4615,3025.13076,1612.82844,2725.69335,11565.39032,4271.0166,8,539.60236,-2.299963805,0.153612556,0.609640305,0.12916817,16.80359392,2.314777371,2.369574119,3.227610648,4.422561648,0.44906382,-0.693045167,0.150622534,0.611111111,0.106835608,16.23810545,2.350281928,2.415547601,3.231689366,4.582361503,0.435255192,766,3.927627661,26.26907532,0.064144697,0.1875,0.090272177,6.187749031,1.650334863,1.69620826,0.392023424,1.745549726,0.333408914,0.573448812,0.586904085,0.608527501,0.45,147.9689268,160.2888142,3.726255417,6.129280281,2.683281573,171,19,0.607533006,0.65716793,0.199298939,1.286289698,1.216552506,0.453884823,140.0402984,154.3443293,43.17077541
"AgedB6-0458","Batch1","Scorer1",83,54.69,3.5,0.160714286,4.5,-1,1203.81688,2517.77512,849.2941,5415.0198,15169.5531,3921.90788,4,23.97252,4.625284135,0.166589391,0.531421153,0.133897843,15.45246478,1.975804113,2.603239866,3.426393894,3.766301504,0.543957109,3.331043427,0.165088584,0.5,0.103656941,15.01400247,1.895783189,2.527592515,3.566063521,3.9624,0.532891714,1488,5.027484661,46.07076424,0.100799606,0.214285714,0.106169596,6.083898747,1.76371297,2.361263519,0.638882367,2.969680889,0.381182594,0.716617603,0.722471484,0.428663261,0.360555128,160.2303375,164.0546041,3.939975739,6.759835815,2.952964612,171,28,0.110617053,0.110282556,0.037109708,1.326315892,1.166190379,2.013991273,154.0143194,158.6142721,22.05838938
"AgedB6-0412","Batch1","Scorer3",55,42.54,4,0.178571429,5,1,623.5999,3158.01796,1280.98848,4314.6511,16630.58103,5133.80874,8,49.42366,-3.410252721,0.180815201,0.538351348,0.152803991,16.84417664,2.558060693,3.014960179,2.917522777,4.93842816,0.436236767,-3.982216421,0.179613324,0.535714286,0.118130193,16.52463383,2.539167418,2.915886242,2.987021775,5.60367982,0.426096586,1241,4.993594323,43.08283683,0.084490928,0.170454545,0.123330581,6.315072417,1.820901629,2.151426614,0.466160425,3.012720758,0.230489583,0.707512655,0.712939909,0.417568759,0.353553391,160.5805379,164.9450754,3.446811676,6.637152863,2.683281573,193,18,0.103398642,0.10392333,0.026977591,1.232720407,1.140175425,1.424789738,153.3199851,158.1985905,21.97130891
"AgedB6-0414","Batch1","Scorer3",55,40.78,3.5,0.160714286,4.5,1,407.0925,3314.5,1800.0153,3522.19132,15993.5716,5747.8317,16,198.5756,4.537822751,0.199369868,0.501970841,0.150923647,14.51251067,2.198800619,2.481954921,2.95361944,3.78375808,0.548088205,3.398078747,0.202697425,0.5,0.11760198,14.07653062,2.18893743,2.247772522,3.079192784,4.276894707,0.555373992,1447,4.838665753,45.15882113,0.096420616,0.2,0.104658596,5.403821864,1.829979088,2.058383476,0.54246372,3.521248126,0.321539078,0.672508931,0.681075134,0.363070303,0.304138127,162.5743133,167.37554,3.430134201,6.1172472,2.662705391,239,20,0.100318231,0.10157232,0.036226959,1.162504323,1.063014581,1.600727844,155.7913954,161.6067815,22.469798
"AgedB6-0415","Batch1","Scorer3",55,30.41,3,0.133928571,3.75,1,856.37248,2865.21956,1353.59782,4227.84182,16102.2384,5576.8673,16,220.28284,5.711364007,0.191433678,0.575869246,0.134311535,19.89976382,2.649885552,2.832498502,2.564823733,5.393353702,0.473556045,4.184720236,0.183440363,0.5625,0.103954555,19.28357434,2.72415,2.83080709,2.570843449,5.470767312,0.449594462,1138,4.919600038,32.22320596,0.07261274,0.142857143,0.098624249,7.518349351,1.288290625,1.159045776,0.359255007,1.4859,0.249493866,0.648206714,0.649718005,0.40900576,0.335410197,158.2833419,164.5226572,3.14147377,5.862092972,2.236067977,231,27,0.085731849,0.086808503,0.031283209,1.225381285,1.140175425,1.339952893,151.2283007,158.6820877,27.58189384
"AgedB6-0849","Batch1","Scorer4",24,24.18,2.5,0.089285714,2.5,1,774.23082,2947.36138,1241.28582,4920.02316,17340.6569,5960.925047,18,176.74238,-1.065056081,0.183946428,0.596679043,0.175521548,19.44086179,2.572844293,2.689737552,2.51817023,5.13084288,0.497532857,-1.415495566,0.172893878,0.590909091,0.129005904,18.85281094,2.63418542,2.675544727,2.54023723,5.224182473,0.472828483,1251,5.385732731,43.73504039,0.077130916,0.166666667,0.127327433,7.95464098,1.4369436,1.610564269,0.378150296,2.102478354,0.274278932,0.635123506,0.637784627,0.344484459,0.291547595,161.0786114,166.6710759,3.056058502,5.688210678,2.19317122,229,32,0.088136624,0.088604254,0.035494704,1.270281914,1.101135777,2.291091538,153.6343828,161.2413497,27.81706974
"AgedB6-0850","Batch1","Scorer4",24,22.84,2,0.071428571,2,1,938.32618,2783.2659,1125.7332,7082.0227,17675.3024,5374.0537,3,14.3143,2.563074202,0.180841501,0.611185933,0.179575412,17.74945514,2.564442996,2.207524643,2.496358806,4.725458982,0.524423217,4.532340184,0.17313813,0.611111111,0.141696383,17.71780018,2.620138135,2.266887742,2.501780534,4.76525193,0.500174355,1584,5.899427362,44.39171872,0.06785079,0.111111111,0.135209611,6.32270918,1.078184466,1.19611602,0.337399513,1.435111804,0.246168249,0.693206054,0.696786849,0.294334029,0.26925824,166.3494694,169.3803447,2.997934437,5.989002419,2.209072203,152,27,0.094745362,0.093704897,0.03263683,1.176637614,1.073545528,1.795993459,160.7464048,165.0914667,17.50352071
"AgedB6-0851","Batch1","Scorer4",24,23.59,2.5,0.089285714,2.5,1,762.49614,2959.0963,1492.65098,4991.866929,15386.4477,5703.5517,14,219.55932,2.382786009,0.163634047,0.579007703,0.155671865,19.42488017,2.379341627,2.490948678,2.34981404,4.783939113,0.409874176,1.336794925,0.157418153,0.5625,0.117392267,18.84930153,2.442017561,2.525544365,2.352675,4.915712142,0.387336983,1357,4.847452966,36.38019643,0.060116382,0.15,0.098660835,7.624290083,1.262729719,1.258758587,0.342309505,1.685472531,0.212551566,0.592897427,0.603382095,0.333210421,0.26925824,159.7282398,165.9637565,2.959550285,5.247135925,2.059126028,196,31,0.08827264,0.088596484,0.038081749,1.143181678,1.030776406,1.767116621,152.7817286,160.5599652,27.42412385
"AgedB6-0739","Batch1","Scorer4",29,35.17,3.5,0.142857143,4,-1,865.24444,2796.32216,1018.58018,3657.207806,13047.7959,4031.935377,16,233.59034,-0.754591638,0.211246898,0.619733258,0.15543943,17.25906729,2.724739235,2.517058762,2.804025162,5.004852295,0.625879155,1.16914636,0.205836399,0.625,0.119214335,16.90185751,2.82750282,2.580765407,2.847975,5.100928756,0.607981479,755,4.025079944,32.44114498,0.072724687,0.142307692,0.109064413,6.051359784,1.621169541,1.667732995,0.381044885,1.936549013,0.281845055,0.454455508,0.45814474,0.382745997,0.304138127,158.9506238,164.7942195,3.314108276,5.731306076,2.475883681,186,37,0.097157358,0.092356844,0.062205598,1.342615376,1.054751155,2.64487743,151.6854938,159.4439548,28.328382
"AgedB6-0839","Batch1","Scorer4",25,32.27,1,0.044642857,1.25,-1,788.48196,2873.08448,1032.98926,5601.3617,16375.56126,4954.61749,11,99.60236,3.46909458,0.166325182,0.607376471,0.165677297,17.82347846,2.618217857,2.01811715,2.683842924,4.479588545,0.457652993,1.714288536,0.154173329,0.603571429,0.125761676,17.42298252,2.674505034,1.941985038,2.723393184,4.468862607,0.432375436,1270,5.37796404,43.03220208,0.076599461,0.1875,0.130279634,7.41500732,1.259931597,1.442974573,0.360217321,1.752815907,0.260493481,0.640357288,0.653047156,0.388440752,0.316227766,158.6431573,164.7448813,3.279921722,5.883263397,2.3,252,39,0.10110271,0.097321086,0.05919139,1.367915824,1.092016483,2.420654939,152.3788491,159.9547506,26.70148905
